Incorrect 	Correct 
चण्डीगढ़	चण्डिगढ
शिलोंग	सिलोङ्ग
पंजाब	पञ्जाब
उड़िसा	उडिसा
तेलंगाना	तेलङ्गाना
गोआ	गोवा
सांस्कृतिक 	सांस्कृतिक 
संस्थाएं	संस्थाहरू
त्यौहार	चाडपर्व
तत्व	तत्त्व
मंडल	मण्डल
सूचकांक	सूचकाङ्क
बंगाल	बङ्गाल
खाड़ी	खाडी
छत्तीसगढ़	छत्तीसगढ
 दस 	 दश 
अंग्रेजी	अङ्ग्रेजी
बार्षिक	वार्षिक
बाह्रय	बाह्य
बढ़ाएर	बढाएर
लिंकहरु	लिङ्कहरू
सामाग्री	सामग्री
सामाजिक	समाजिक
माध्यामिक	माध्यमिक
निर्देशांक	निर्देशाङ्क
हरियाणा	हरियाना
बंगलोर	बेङ्गलोर
अरुणाचल	अरुणाञ्चल
बाह्य लिँक	बाह्य लिङ्कहरू
श्रृंखला	शृङ्खला
यूगांडा	युगान्डा
अज़रबैजान	अजरबैजान
सीरिया	सिरिया
ईस्टोनिया	इस्टोनिया
इरीट्रिया	इरिट्रिया
गानिया-बिसाउ	गिनिया-बिसाउ
क्यूबा	क्युबा
ग्रीस	ग्रिस
पपुवा न्यू गुनिया	पपुवा न्यु गिनिया
नेदरल्याण्डस्	नेदरल्याण्ड
केमैन टापुहरू	केमेन टापुहरू
अल सल्वाडोर	एल साल्भाडोेर
लिथुआनिया	लिथुवानिया
थाईल्यान्ड	थाइल्यान्ड
ब्रूनाई	ब्रुनाई
ताजीकिस्तान	ताजिकिस्तान
मोज़ाम्बिक	मोजाम्बिक
लक्ज़मबर्ग	लक्जेमबर्ग
गिब्राल्टर	जिब्राल्टार
हंगरी	हङ्गेरी
बोस्निया र हर्ज़िगोभ्निया	बोस्निया र हर्जगोभिना
ईरान	इरान
कँगो: लोकतांत्रिक गणराज्य	कङ्गो: लोकतान्त्रिक गणराज्य
मार्टीनिक	मार्टिनिक
श्रीलंका	श्रीलङ्का
मोरिसस	मौरिसस
क्रोएशिया	क्रोएसिया
इजराइल	इजरायल
बुरुंडी	बुरुन्डी
इटली	इटाली
बंगलादेश	बङ्गलादेश
मरुस्थल	मरूभूमी
एङ्गुईला	एङ्गुइला
गेबन	गाबोन
इन्डोनेशिया	इन्डोनेसिया
#कोलम्बिया	कोलोम्बिया
म्याकेडोनिया	म्यासेडोनिया
सिंगापुर	सिङ्गापुर
सर्वर	सर्भर
प्रवंधकहरूलाई	प्रवन्धकहरूलाई
प्रवंधक	प्रवन्धक
अंतरिक्ष	अन्तरिक्ष
धन्यबाद	धन्यवाद
आप्नो	आफ्नो
पंजीकृत	पञ्जिकृत
गहिराइ	गहिराई
नंया	नयाँ
पस्चात	पश्चात्
बिसं	विक्रम सम्वत
विसं	विक्रम सम्वत
इ.स.	इस्वी सम्वत
बन्यजन्तु	वन्यजन्तु
बिशेष	विशेष
बस्तुबाउ	बस्तुभाउ
पहाडि	पहाडी
हिमालि	हिमाली
हीमाली	हिमाली
तैयार	तयार
अतिनै	अति नै
वीरगंज	वीरगञ्ज
नर्सीङ होम	नर्सिङ होम
नर्सीङ	नर्सिङ
वि.सं.	विक्रम सम्वत्
बीरगञ्ज	वीरगञ्ज
काँग्रेस	काङ्ग्रेस
बीर शम्शेर	वीर शम्शेर
इजरेल	इजरायल
मंजुरी	मञ्जुरी
ईतिहास	इतिहास
बंगलादेश	बङ्गलादेश
मंगलबार	मङ्गलवार
अंतरराष्ट्रिय	अन्तरराष्ट्रिय
टूरिज्म	पर्यटन
केंद्र	केन्द्र
जनतासंग	जनतासँग
बीरता	वीरता
सड्यन्त्रको	षड्यन्त्र
संबत	सम्वत
बिभूति	विभूति
भनें	भने
उहां	उहाँ
जंगबहादुर	जङ्गबगादुर
पाचौं	पाचौँ
मंसिर	मङ्सिर
संग्राम	सङ्ग्राम
दाजू	दाजु
श्रेणि	श्रेणी
त्रिबेणी	त्रिवेणी
फूटबल	फुटबल
अघी	अघि
अंक	अङ्क
अंग	अङ्ग
अंचल	अञ्चल
अंडाशय	अण्डाशय
अधिकारि	अधिकारी
